id,pid,good,keymove,jump,costopall,wrap,created_at,updated_at,cochangescore,movetomouse,moveanimate
1,104765718,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:00:29 UTC,false,false,false
2,115572890,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:01:14 UTC,false,false,false
3,131776257,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:02:09 UTC,false,false,false
4,135727484,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:03:14 UTC,true,false,false
5,139447302,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:03:52 UTC,true,false,false
6,147703536,true,true,true,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:05:56 UTC,true,false,false
7,154033750,true,true,false,false,true,2020-02-24 22:06:10 UTC,2020-02-25 05:09:06 UTC,true,false,true
8,158821339,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:10:30 UTC,true,false,false
9,159518283,true,true,true,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:14:37 UTC,true,false,false
10,167129715,true,true,false,true,false,2020-02-24 22:06:10 UTC,2020-02-25 06:15:14 UTC,true,false,true
11,167472991,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:21:37 UTC,true,true,false
12,170315872,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:20:02 UTC,false,true,false
13,170650739,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:22:43 UTC,false,false,false
14,170680347,false,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 23:29:37 UTC,false,false,false
15,170724578,true,true,true,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:25:02 UTC,false,false,false
16,170787472,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:25:40 UTC,false,false,false
17,177246730,true,true,true,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:26:37 UTC,true,false,false
18,177387158,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:27:37 UTC,true,true,false
19,177394012,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:28:09 UTC,false,false,false
20,179493945,true,false,false,true,false,2020-02-24 22:06:10 UTC,2020-02-25 05:29:20 UTC,false,false,false
21,183348444,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:30:19 UTC,false,false,false
22,184247881,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:30:57 UTC,true,true,false
23,190654774,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:31:34 UTC,false,true,false
24,195561339,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:35:07 UTC,false,false,false
25,195659617,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:40:07 UTC,false,false,false
26,197139298,true,true,true,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:41:29 UTC,false,false,false
27,198496650,false,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:43:59 UTC,false,false,false
28,199394411,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:44:42 UTC,false,true,true
29,201388954,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:47:12 UTC,false,false,false
30,203024779,true,true,false,false,true,2020-02-24 22:06:10 UTC,2020-02-25 05:49:28 UTC,false,false,false
31,203324760,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:50:26 UTC,false,false,false
32,204426626,true,true,false,true,false,2020-02-24 22:06:10 UTC,2020-02-25 05:52:25 UTC,false,false,false
33,204766594,false,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:53:12 UTC,false,false,false
34,208014011,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:54:24 UTC,true,false,false
35,209361427,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:56:57 UTC,true,true,false
36,210352594,true,false,false,true,false,2020-02-24 22:06:10 UTC,2020-02-25 05:59:16 UTC,true,true,false
37,213507765,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 05:59:58 UTC,true,false,false
38,213630768,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 06:00:54 UTC,false,false,false
39,213886286,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 06:01:45 UTC,false,false,false
40,215060396,true,false,true,true,false,2020-02-24 22:06:10 UTC,2020-02-25 06:04:30 UTC,false,false,false
41,217227068,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 15:14:54 UTC,false,false,false
42,220589686,true,true,true,false,false,2020-02-24 22:06:10 UTC,2020-02-25 15:16:41 UTC,false,false,false
43,221795795,false,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 06:10:43 UTC,false,false,false
44,224520392,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 06:11:05 UTC,false,false,false
45,227184935,true,false,false,true,false,2020-02-24 22:06:10 UTC,2020-02-25 06:11:56 UTC,false,false,false
46,228188603,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 06:14:04 UTC,false,false,true
47,229401916,true,false,false,true,false,2020-02-24 22:06:10 UTC,2020-02-25 06:17:15 UTC,false,true,true
48,229442017,true,true,false,true,false,2020-02-24 22:06:10 UTC,2020-02-25 13:54:09 UTC,true,false,false
49,230005901,true,true,true,false,false,2020-02-24 22:06:10 UTC,2020-02-25 13:56:26 UTC,false,false,false
50,230266044,true,true,true,false,false,2020-02-24 22:06:10 UTC,2020-02-25 13:57:51 UTC,false,false,false
51,230452516,true,true,false,true,false,2020-02-24 22:06:10 UTC,2020-02-25 13:59:14 UTC,false,false,false
52,230676126,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:00:06 UTC,false,false,false
53,235629891,true,false,true,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:01:33 UTC,false,false,false
54,236617264,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:04:00 UTC,true,false,true
55,237083846,true,true,false,false,true,2020-02-24 22:06:10 UTC,2020-02-25 14:04:53 UTC,false,false,false
56,237183423,true,true,false,true,false,2020-02-24 22:06:10 UTC,2020-02-25 14:06:10 UTC,true,false,true
57,237780368,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:07:56 UTC,true,false,false
58,239505974,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:08:43 UTC,false,false,false
59,241939703,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:09:30 UTC,false,false,false
60,244880412,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:10:40 UTC,true,false,true
61,244881173,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:12:05 UTC,true,false,true
62,245819771,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:13:37 UTC,false,false,true
63,248252461,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:15:30 UTC,true,false,false
64,248700085,true,true,true,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:17:42 UTC,true,false,false
65,248979082,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:18:09 UTC,false,false,false
66,249409949,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:19:03 UTC,false,false,false
67,250694050,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:20:27 UTC,false,false,false
68,250872512,true,true,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:22:02 UTC,false,false,false
69,251056994,true,false,false,false,false,2020-02-24 22:06:10 UTC,2020-02-25 14:22:32 UTC,false,false,false
